식품코드,식품코드명
26029,"과자,촉촉한초코칩(오리온)"
26030,"카라멜,땅콩(오리온)"
26035,"초콜릿,투유-마일드(오리온)"
26039,"카스테라,후레시베리(오리온)"
26040,"초콜릿,가나(롯데제과)"
26042,"과자,꼬깔콘(고소)(롯데제과)"
26043,"아이스밀크,누크바(롯데제과)"
26044,"과자,마가렛트(롯데제과)"
26045,"사탕,목캔디(롯데제과)"
26046,"밀,밀가공식품,빵/과자류,초코파이,몽쉘통통(롯데)"
26048,"과자,빠다코코낫(롯데제과)"
26049,"과자,빼빼로(롯데제과)"
26053,"껌,자일리톨껌(롯데제과)"
26055,"사탕,스카치세가지맛(롯데제과)"
26056,"빙과,스크류바(롯데제과)"
26058,"과자,아몬드빼빼로(롯데제과)"
26059,"초콜릿,아몬드초콜릿(롯데제과)"
26061,"과자,애플쨈(롯데제과)"
26062,"과자,엄마손파이(롯데제과)"
26067,"과자,제크(롯데제과)"
26073,"밀,밀가공식품,빵/과자류,초코파이(롯데)"
26074,"과자,칙촉(롯데제과)"
26075,"카스테라,카스타드(롯데)"
26077,"초콜릿,크런키(롯데제과)"
26080,"과자,하비스트(롯데제과)"
26086,"과자,뻥이요(서울식품공업)"
26114,"과자,땅콩강정(오리온프리토레이)"
26121,"과자,오징어땅콩(오리온프리토레이)"
26122,"과자,치토스-매콤(오리온프리토레이)"
26123,"과자,치토스-바비큐(오리온프리토레이)"
26125,"과자,포카칩-소금맛(오리온프리토레이)"
26126,"과자,포카칩-양파맛(오리온프리토레이)"
26128,"과자,바나나킥(농심)"
26131,"과자,오징어집(농심)"
26132,"과자,올리고고구마깡(농심)"
26133,"과자,칼슘양파링(농심)"
26134,"과자,콘드로이친감자깡(농심)"
26135,"과자,키토산자갈치(농심)"
26137,"과자,꽃게랑(빙그레)"
26140,"과자,야채타임(빙그레)"
26150,"과자,맛동산(해태제과)"
26152,"과자,샤브레(해태제과)"
26157,"과자,에이스(해태제과)"
26158,"밀,밀가공식품,빵/과자류,초코파이,오예스(해태)"
26161,"사탕,자두캔디(해태제과)"
26166,"과자,홈런볼(쵸코)(해태제과)"
27007,"커피음료,프렌치카페카푸치노(남양유업)"
27013,"커피믹스,맥스웰커피믹스(동서식품)"
27014,"커피믹스,맥스웰하우스커피믹스(동서식품)"
27016,"커피,분말,맥심(동서식품)"
27017,"커피믹스,맥심디카페인커피믹스(동서식품)"
27018,"커피믹스,맥심모카골드커피믹스(동서식품)"
27019,"커피믹스,맥심커피믹스(동서식품)"
27067,"커피,분말,네스카페클래식(한국네슬레)"
27070,"코코아,네스퀵쵸콜릿맛(한국네슬레)"
27071,"홍차음료,분말,네스티(한국네슬레)"
27073,"커피,분말,테이스터스쵸이스(한국네슬레)"
27075,"커피믹스,테이스터스쵸이스커피믹스(한국네슬레)"
27079,"과일탄산음료,쿨피스(복숭아맛)(해태유업)"
27095,"오렌지,주스,아침에주스오렌지(서울우유)"
28010,"아몬드,칼몬드(우성식품)"
29012,"꿀,아카시아꿀(동서식품)"
50006,"과자,고소미(오리온)"
50009,"과자,국희땅콩샌드(크라운제과)"
50011,"과자,그레이스(크라운제과)"
50015,"빵,꿀호떡(샤니)"
50025,"과자,닭다리(농심)"
50029,"과자,땅콩크래커(해태제과)"
50061,"과자,라면땅"
50062,"과자,롯데샌드오리지날(롯데제과)"
50064,"과자,롤리폴리(해태제과)"
50075,"밀,밀가공식품,밀가루,백설밀가루(CJ)"
50085,"과자,버터링(해태제과)"
50086,"과자,버터와플(크라운제과)"
50092,"밀,밀가공식품,빵/과자류,초코파이,빅파이(크라운제과)"
50093,"과자,빈츠(롯데제과)"
50096,"과자,뽀또(크라운제과)"
50097,"과자,뿌셔뿌셔(오뚜기)"
50098,"과자,사또밥(삼양식품)"
50110,"빵,소보로빵(파리바게뜨)"
50117,"과자,쌀로별(기린)"
50118,"과자,쌀새우깡(농심)"
50119,"과자,씨리얼(롯데제과)"
50120,"과자,아이비(해태제과)"
50121,"과자,알새우칩(농심)"
50122,"과자,야채크래커V6(롯데제과)"
50125,"과자,예감(농심)"
50128,"과자,오감자(오리온)"
50130,"밀,밀가공식품,빵/과자류,초코파이,오뜨(오리온)"
50133,"과자,오징어땅콩볼(롯데제과)"
50134,"옥수수통조림,옥수수콘,스위트콘(대상)"
50145,"과자,죠리퐁(크라운제과)"
50148,"과자,짱구(삼양식품)"
50151,"과자,쫄병스낵(농심)"
50153,"밀,밀가공식품,빵/과자류,초코파이,찰떡파이(롯데제과)"
50156,"과자,참깨스틱"
50157,"과자,참크래커(크라운제과)"
50165,"과자,초코하임(크라운제과)"
50167,"과자,치즈샌드(크라운제과)"
50170,"과자,칸쵸(롯데제과)"
50175,"과자,콘칩(크라운제과)"
50191,"과자,포스틱(농심)"
50199,"빵,호두과자"
50201,"과자,후렌치파이,사과(해태제과)"
50210,"감자스낵,칩포테토(농심)"
50211,"감자스낵,프링글스오리지널(P&G)"
50213,"사탕,고려홍삼제리"
50220,"물엿/시럽,백설물엿(CJ)"
50236,"사탕,청포도맛사탕(롯데제과)"
50237,"사탕,츄파춥스"
50243,"설탕,백설탕(큐원)(삼양사)"
50244,"설탕,백설탕(CJ)"
50248,"설탕,황설탕(큐원)(삼양사)"
50251,"설탕,황설탕(CJ)"
50253,"젤리,양갱,연양갱(해태제과)"
50256,"물엿/시럽,백설올리고당(CJ)"
50257,"물엿/시럽,청정원올리고당(대상)"
50261,"초코바,스니커즈(Mars Foods)"
50266,"초콜릿,페레로로쉐(페레로로쉐)"
50267,"초콜릿,ABC초콜릿(롯데제과)"
50268,"카라멜,마이쮸(크라운제과)"
50270,"카라멜,새콤달콤(크라운제과)"
50316,"망고,주스,델몬트망고주스(롯데칠성음료)"
50317,"오렌지,주스,델몬트오렌지주스(롯데칠성음료)"
50318,"오렌지,주스,델몬트콜드오렌지주스(롯데칠성음료)"
50320,"포도,주스,델몬트포도주스(롯데칠성음료)"
50321,"딸기,잼,복음자리딸기잼(복음자리)"
50322,"딸기,잼,오뚜기딸기잼(오뚜기)"
50327,"오렌지,주스,미닛메이드오리지널오렌지100(한국코카콜라보틀링)"
50329,"석류,주스,석류원액"
50344,"과일음료/과즙음료,오렌지에이드"
50354,"귤,과일주스,제주감귤(롯데칠성음료)"
50507,"아이스밀크,거북이(롯데삼강)"
50509,"아이스크림,구구콘(롯데삼강)"
50512,"아이스크림,나뚜루(롯데)"
50513,"아이스크림,누가바(해태제과)"
50514,"빙과,더위사냥(빙그레)"
50515,"샤베트,돼지바(롯데삼강)"
50519,"빙과/샤베트,델몬트망고(롯데삼강)"
50520,"아이스밀크,메가톤바(롯데제과)"
50521,"아이스밀크,메로나(빙그레)"
50523,"빙과,바밤바(해태제과)"
50526,"아이스크림,부라보콘(해태제과)"
50527,"아이스밀크,붕어싸만코(빙그레)"
50533,"샤베트,비비빅(빙그레)"
50534,"샤베트,빠삐코(롯데삼강)"
50535,"아이스밀크,빵또아(빙그레)"
50536,"아이스밀크,빵빠레(롯데삼강)"
50537,"샤베트,뽕따(빙그레)"
50543,"아이스밀크,쌍쌍바(해태제과)"
50545,"아이스크림,엑설런트(빙그레)"
50546,"아이스밀크,엔초(빙그레)"
50548,"아이스밀크,옥동자(롯데제과)"
50549,"아이스밀크,와일드바디(롯데제과)"
50551,"샤베트,요맘때(빙그레)"
50555,"빙과,죠스바(롯데제과)"
50556,"아이스밀크,찰떡아이스(롯데제과)"
50557,"아이스크림,체리마루(해태제과)"
50562,"샤베트,캔디바(빙그레)"
50563,"아이스밀크,쿠앤크(빙그레)"
50564,"빙과,탱크보이(해태제과)"
50565,"아이스크림,투게더(빙그레)"
50566,"빙과,파워캡(빙그레)"
50568,"빙과,폴라포,포도맛(해태제과)"
50569,"아이스크림,호두마루(해태제과)"
50604,"요구르트(호상),비요뜨(서울우유)"
50608,"요구르트(호상),짜요짜요(서울우유)"
50629,"우유,고구마우유"
50744,"기능성음료,꿀물(캔)"
50765,"음료류,탄산음료,과일탄산음료,데미소다(동아오츠카)"
50771,"사이다,마운틴듀(롯데칠성음료)"
50783,"맥주,버드와이저(OB맥주)"
50784,"맥주,카스맥주(OB맥주)"
50785,"맥주,카프리(OB맥주)"
50787,"맥주,하이트맥주(하이트맥주㈜)"
50790,"탄산음료,맥콜(일화)"
50794,"코코아,미떼핫초코(동서식품)"
50796,"기능성음료,미에로화이바"
50797,"탄산음료,밀키스(롯데칠성음료)"
50799,백세주(국순당)
50803,"홍차음료,복숭아홍차(담터)"
50804,"식혜,비락식혜(비락)"
50805,"기능성음료,비타500"
50807,"기능성음료,비타민음료"
50810,"소주,레몬소주"
50816,"소주,시원소주(대선주조)"
50818,"소주,잎새주(보해양조)"
50819,"소주,참소주(금복주)"
50820,"소주,참이슬(진로)"
50821,"소주,하이트소주(하이트주조)"
50822,"소주,한라산(한라산)"
50824,"과일음료/과즙음료,솔의눈(롯데칠성음료)"
50825,수정과
50827,"사이다,스프라이트(한국코카콜라보틀링)"
50836,아침햇살(웅진식품)
50843,"탄산음료,암바사(한국코카콜라보틀링)"
50845,"과일탄산음료,오란씨(동아오츠카)"
50848,"과일탄산음료,웰치스(농심)"
50852,"기능성음료,이온음료,2%부족할때(롯데칠성음료)"
50854,"기능성음료,이온음료,게토레이(롯데칠성음료)"
50856,"기능성음료,이온음료,파워에이드(한국코카콜라보틀링)"
50857,"기능성음료,이온음료,포카리스웨트(동아오츠카)"
50858,인삼주
50861,"코코아,제티(동서식품)"
50864,"사이다,천연사이다(일화)"
50865,"과일음료/과즙음료,초록매실(웅진식품)"
50867,"사이다,칠성사이다(롯데칠성음료)"
50869,"과일음료/과즙음료,카프리썬(농심)"
50871,"커피음료,레쓰비"
50875,"커피음료,마일드카페라테(매일유업)"
50876,"커피,분말,맥심모카골드(동서식품)"
50884,"콜라,코카콜라(한국코카콜라보틀링)"
50885,"과일음료/과즙음료,코코팜(해태음료)"
50889,"과일탄산음료,쿨피스(자두맛)"
50891,"사이다,킨사이다(한국코카콜라보틀링)"
50893,"콜라,펩시콜라(롯데칠성음료)"
50896,"과일음료/과즙음료,피크닉,애플(매일유업)"
50900,"우유,허쉬초콜렛드링크(매일유업)"
50906,"과일탄산음료,환타(한국코카콜라보틀링)"
51068,"과자,계란과자(해태제과)"
51070,"파이,고구마파이"
51078,"빵,보름달(샤니)"
51085,"찹쌀미숫가루,선식,생식,황성주생식(erom)"
51131,"파인애플,델몬트파인애플통조림(롯데칠성음료)"
51132,"딸기,잼,대상딸기잼(대상)"
51162,"아이스크림,체리쥬빌레(베스킨라빈스31)"
51167,"샤베트,와(롯데제과)"
51180,"샤베트,팥빙수(롯데삼강)"
51204,"기능성음료,컨피던스(동아오츠카)"
51236,"빵,꿀호떡(기린)"
